Client Name,Equipment Type,ISI Number,Serial Number,DOM,SWL,Client Ref,Location,Report ID,A Defect,B Defect,C Defect,D Defect,Report Date,Next Inspection Date
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyenut,GEA01529,N/A,N/A,230 KG,S/No: C15 (M10) 1906,1900,14561,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Endless Round Sling,GEA01213,N/A,N/A,2000 KG,S/No: 003254975,1200,14562,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyenut,GEA01237,N/A,N/A,140 KG,S/No: C15 (M8) 1201,1200,14563,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Chains - 2 Legs,GEA01501,N/A,N/A,2150 KG,S/No: ST13947/5,1800,14564,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyebolt,GEA01478,N/A,N/A,340 KG,S/No: C15 (M12) 1806,1800,14565,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Web Slings (1 m),GEA01427,N/A,N/A,1000 KG,S/No:,1700,14566,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Bow Shackle,GEA01199,N/A,N/A,2000 KG,S/No: 1140,1100,14567,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/D Shackle,GEA01247,N/A,N/A,7000 KG,S/No: 1224,1200,14568,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Web Slings (1 m),GEA01426,N/A,N/A,3000 KG,S/No: 003305126,1700,14569,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Endless Round Sling,GEA01046,N/A,N/A,1000 KG,S/No: 003266692,800,14570,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyebolt,GEA01392,N/A,N/A,700 KG,S/No: C15 (M16) 1613,1600,14571,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Bow Shackle,GEA01323,N/A,N/A,2000 KG,S/No: AW6GP 1418,1400,14572,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Bow Shackle,GEA01492,N/A,N/A,2000 KG,S/No: 1828,1800,14573,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Bow Shackle,GEA01242,N/A,N/A,2000 KG,S/No: 1239,1200,14574,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Endless Round Sling,GEA01089,N/A,N/A,1000 KG,S/No: 003251900,900,14575,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Web Slings (1 m),GEA01216,N/A,N/A,3000 KG,S/No: 002804458,1200,14576,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Endless Round Sling,GEA01504,N/A,N/A,2000 KG,S/No: 002267529 (002267579),1900,14577,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyenut,GEA01404,N/A,N/A,230 KG,S/No: C15 (M10) 1604,1600,14578,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Web Slings (1 m),GEA01343,N/A,N/A,1000 KG,S/No: 003180756,1500,14579,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Bow Shackle,GEA01407,N/A,N/A,2000 KG,S/No: AD6GP 1616,1600,14580,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Endless Round Sling,GEA01421,N/A,N/A,2000 KG,S/No: 002460849,1700,14581,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyebolt,GEA01186,N/A,N/A,230 KG,S/No: C15 (M10) 1130,1100,14582,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Chains - 2 Legs,GEA01375,N/A,N/A,2150 KG,S/No: ST13388/7,1500,14583,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Endless Round Sling,GEA01044,N/A,N/A,2000 KG,S/No: 003322184,800,14584,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyebolt,GEA01225,N/A,N/A,340 KG,S/No: C15 (M12) 1212,1200,14585,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Chains - 2 Legs,GEA01459,N/A,N/A,2150 KG,S/No: ST13588/2,1700,14586,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyenut,GEA01148,N/A,N/A,700 KG,S/No: C15 (M16) 1016,1000,14587,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Chains - 2 Legs,GEA01291,N/A,N/A,2150 KG,S/No: ST13947/2,1300,14588,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Web Slings (1 m),GEA01132,N/A,N/A,1000 KG,S/No: 003305100,1000,14589,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyebolt,GEA01139,N/A,N/A,700 KG,S/No: C15 (M16) 1007,1000,14590,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Endless Round Sling,GEA01173,N/A,N/A,1000 KG,S/No: 002267569,1100,14591,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Web Slings (1 m),GEA01428,N/A,N/A,1000 KG,S/No: 2744808,1700,14592,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyenut,GEA01406,N/A,N/A,140 KG,S/No: C15 (M8) 1600,1600,14593,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/D Shackle,GEA01079,N/A,N/A,2000 KG,S/No: 0805,800,14594,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Bow Shackle,GEA01324,N/A,N/A,2000 KG,S/No: AF6GP1417,1400,14595,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/D Shackle,GEA01413,N/A,N/A,7000 KG,S/No: 1639,1600,14596,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/D Shackle,GEA01244,N/A,N/A,2000 KG,S/No: 1231,1200,14597,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Chains - 2 Legs,GEA01333,N/A,N/A,2150 KG,S/No: ST1388/4,1400,14598,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Web Slings (1 m),GEA01092,N/A,N/A,3000 KG,S/No: 003209603,900,14599,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyebolt,GEA01182,N/A,N/A,700 KG,S/No: C15 (M16) 1116,1100,14600,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Eyebolt,GEA01137,N/A,N/A,1800 KG,C15 (M24) 1005,1000,14601,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Endless Round Sling,GEA01001,N/A,N/A,2000 KG,S/No: 003322200,700,14602,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Chains - 2 Legs,GEA01123,N/A,N/A,2150 KG,S/No: ST13391/6,900,14603,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/D Shackle,GEA01414,N/A,N/A,2000 KG,S/No:1618,1600,14604,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Endless Round Sling,GEA01464,N/A,N/A,2000 KG,S/No: 003322189,1800,14605,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Endless Round Sling,GEA01220,N/A,N/A,1000 KG,S/No: 17-3124659,1200,14606,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Web Slings (1 m),GEA01008,N/A,N/A,3000 KG,S/No: 003299791,700,14607,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Bow Shackle,GEA01073,N/A,N/A,2000 KG,S/No: 0811,800,14608,None,None,None,None,02/12/2023,02/06/2024
GEA Mechanical Equipment UK Limited,Lifting Accessories/Bow Shackle,GEA01283,N/A,N/A,2000 KG,S/No: AW6GP 1303,1300,14609,None,None,None,None,02/12/2023,02/06/2024
